ID,BUS ID,Source,Destination,Arrival Time,Boarding Time,Trip Start Time,Departure Time,Queue Delay,Halting Delay,Road Delay,Waiting Time,Total Delay
17,1,Mogbazar,Mohakhali,3.90698,3.90698,3.90698,4.49201,0,0,0.585031,0,0.585031
24,1,Mohakhali,Mogbazar,8.06224,8.06224,8.06224,10.0799,0,0,2.01767,0,2.01767
33,1,Mogbazar,Mohakhali,12.2627,12.2627,12.2627,13.0768,0,0,0.814112,0,0.814112
21,3,Mogbazar,Mohakhali,6.15086,6.15086,14.2471,14.3309,0,8.09622,0.083823,8.09622,8.18005
31,3,Mogbazar,Mohakhali,12.1769,12.1769,14.2471,14.3309,0,2.07017,0.083823,2.07017,2.15399
37,3,Mogbazar,Mohakhali,14.2471,14.2471,14.2471,14.3309,0,0,0.083823,0,0.083823
11,2,Mogbazar,Mohakhali,1.88328,1.88328,19.1077,19.5866,0,17.2245,0.478834,17.2245,17.7033
48,2,Mogbazar,Mohakhali,19.1077,19.1077,19.1077,19.5866,0,0,0.478834,0,0.478834
23,10,Mogbazar,Mohakhali,6.69985,6.69985,19.6553,19.6729,0,12.9554,0.0176004,12.9554,12.973
25,10,Mogbazar,Mohakhali,8.46761,8.46761,19.6553,19.6729,0,11.1877,0.0176004,11.1877,11.2053
29,10,Mogbazar,Mohakhali,11.3252,11.3252,19.6553,19.6729,0,8.33011,0.0176004,8.33011,8.34771
38,10,Mogbazar,Mohakhali,14.3162,14.3162,19.6553,19.6729,0,5.33908,0.0176004,5.33908,5.35668
39,10,Mogbazar,Mohakhali,15.3316,15.3316,19.6553,19.6729,0,4.32365,0.0176004,4.32365,4.34125
41,10,Mogbazar,Mohakhali,17.233,17.233,19.6553,19.6729,0,2.42224,0.0176004,2.42224,2.43984
44,10,Mogbazar,Mohakhali,18.1215,18.1215,19.6553,19.6729,0,1.53375,0.0176004,1.53375,1.55135
50,10,Mogbazar,Mohakhali,19.5087,19.5087,19.6553,19.6729,0,0.146572,0.0176004,0.146572,0.164172
51,10,Mogbazar,Mohakhali,19.6533,19.6533,19.6553,19.6729,0,0.00200285,0.0176004,0.00200285,0.0196033
52,10,Mogbazar,Mohakhali,19.6553,19.6553,19.6553,19.6729,0,0,0.0176004,0,0.0176004
59,1,Mohakhali,Mogbazar,23.1854,23.1854,23.1854,23.4224,0,0,0.236931,0,0.236931
4,7,Mogbazar,Mohakhali,0.205638,0.205638,24.3341,24.7368,0,24.1285,0.402626,24.1285,24.5311
12,7,Mogbazar,Mohakhali,2.28315,2.28315,24.3341,24.7368,0,22.051,0.402626,22.051,22.4536
32,7,Mogbazar,Mohakhali,12.2578,12.2578,24.3341,24.7368,0,12.0764,0.402626,12.0764,12.479
36,7,Mogbazar,Mohakhali,14.0104,14.0104,24.3341,24.7368,0,10.3237,0.402626,10.3237,10.7263
46,7,Mogbazar,Mohakhali,18.3126,18.3126,24.3341,24.7368,0,6.02148,0.402626,6.02148,6.42411
54,7,Mogbazar,Mohakhali,21.0188,21.0188,24.3341,24.7368,0,3.31533,0.402626,3.31533,3.71796
65,7,Mogbazar,Mohakhali,24.3341,24.3341,24.3341,24.7368,0,0,0.402626,0,0.402626
66,1,Mogbazar,Mohakhali,24.7828,24.7828,24.7828,24.9438,0,0,0.161016,0,0.161016
2,6,Mogbazar,Mohakhali,0.124762,0.124762,25.9231,28.9477,0,25.7983,3.02461,25.7983,28.8229
6,6,Mogbazar,Mohakhali,0.463021,0.463021,25.9231,28.9477,0,25.46,3.02461,25.46,28.4847
16,6,Mogbazar,Mohakhali,3.72766,3.72766,25.9231,28.9477,0,22.1954,3.02461,22.1954,25.22
30,6,Mogbazar,Mohakhali,11.3642,11.3642,25.9231,28.9477,0,14.5588,3.02461,14.5588,17.5835
67,6,Mogbazar,Mohakhali,24.9185,24.9185,25.9231,28.9477,0,1.00455,3.02461,1.00455,4.02916
72,6,Mogbazar,Mohakhali,25.9231,25.9231,25.9231,28.9477,0,0,3.02461,0,3.02461
13,5,Mogbazar,Mohakhali,2.36507,2.36507,28.1775,29.0416,0,25.8125,0.864085,25.8125,26.6766
53,5,Mogbazar,Mohakhali,19.8843,19.8843,28.1775,29.0416,0,8.29321,0.864085,8.29321,9.1573
64,5,Mogbazar,Mohakhali,24.2497,24.2497,28.1775,29.0416,0,3.92781,0.864085,3.92781,4.7919
68,5,Mogbazar,Mohakhali,24.919,24.919,28.1775,29.0416,0,3.25848,0.864085,3.25848,4.12257
81,5,Mogbazar,Mohakhali,28.1775,28.1775,28.1775,29.0416,0,0,0.864085,0,0.864085
71,4,Mogbazar,Mohakhali,25.2176,25.2176,29.7365,30.5579,0,4.5189,0.821417,4.5189,5.34032
74,4,Mogbazar,Mohakhali,26.0788,26.0788,29.7365,30.5579,0,3.65769,0.821417,3.65769,4.4791
82,4,Mogbazar,Mohakhali,28.2185,28.2185,29.7365,30.5579,0,1.51799,0.821417,1.51799,2.33941
87,4,Mogbazar,Mohakhali,29.7365,29.7365,29.7365,30.5579,0,0,0.821417,0,0.821417
1,9,Mogbazar,Mohakhali,0.0253022,0.0253022,30.0196,31.2867,0,29.9943,1.26706,29.9943,31.2614
8,9,Mogbazar,Mohakhali,0.828676,0.828676,30.0196,31.2867,0,29.1909,1.26706,29.1909,30.458
9,9,Mogbazar,Mohakhali,1.52221,1.52221,30.0196,31.2867,0,28.4974,1.26706,28.4974,29.7645
15,9,Mogbazar,Mohakhali,3.28548,3.28548,30.0196,31.2867,0,26.7341,1.26706,26.7341,28.0012
19,9,Mogbazar,Mohakhali,4.51166,4.51166,30.0196,31.2867,0,25.508,1.26706,25.508,26.775
45,9,Mogbazar,Mohakhali,18.2611,18.2611,30.0196,31.2867,0,11.7585,1.26706,11.7585,13.0255
61,9,Mogbazar,Mohakhali,23.5253,23.5253,30.0196,31.2867,0,6.49429,1.26706,6.49429,7.76134
80,9,Mogbazar,Mohakhali,27.9303,27.9303,30.0196,31.2867,0,2.08928,1.26706,2.08928,3.35634
88,9,Mogbazar,Mohakhali,30.0196,30.0196,30.0196,31.2867,0,0,1.26706,0,1.26706
5,8,Mogbazar,Mohakhali,0.420791,0.420791,28.9365,31.5492,0,28.5157,2.61272,28.5157,31.1284
35,8,Mogbazar,Mohakhali,13.488,13.488,28.9365,31.5492,0,15.4485,2.61272,15.4485,18.0612
42,8,Mogbazar,Mohakhali,17.4507,17.4507,28.9365,31.5492,0,11.4858,2.61272,11.4858,14.0985
60,8,Mogbazar,Mohakhali,23.2913,23.2913,28.9365,31.5492,0,5.6452,2.61272,5.6452,8.25792
73,8,Mogbazar,Mohakhali,25.9417,25.9417,28.9365,31.5492,0,2.99486,2.61272,2.99486,5.60758
76,8,Mogbazar,Mohakhali,26.6493,26.6493,28.9365,31.5492,0,2.28721,2.61272,2.28721,4.89993
85,8,Mogbazar,Mohakhali,28.9072,28.9072,28.9365,31.5492,0,0.0292663,2.61272,0.0292663,2.64199
86,8,Mogbazar,Mohakhali,28.9365,28.9365,28.9365,31.5492,0,0,2.61272,0,2.61272
99,1,Mohakhali,Mogbazar,31.5049,31.5049,31.5049,32.4998,0,0,0.994877,0,0.994877
89,1,Mogbazar,Mohakhali,30.4296,32.4998,32.4998,32.899,2.07013,0,0.399225,2.07013,2.46936
90,1,Mogbazar,Mohakhali,30.4551,32.4998,32.4998,32.899,2.04467,0,0.399225,2.04467,2.4439
93,1,Mogbazar,Mohakhali,30.9132,32.4998,32.4998,32.899,1.58658,0,0.399225,1.58658,1.9858
94,1,Mogbazar,Mohakhali,30.9463,32.4998,32.4998,32.899,1.55348,0,0.399225,1.55348,1.9527
96,1,Mogbazar,Mohakhali,31.1906,32.4998,32.4998,32.899,1.3092,0,0.399225,1.3092,1.70842
97,1,Mogbazar,Mohakhali,31.4601,32.4998,32.4998,32.899,1.03967,0,0.399225,1.03967,1.43889
100,1,Mogbazar,Mohakhali,31.5417,32.4998,32.4998,32.899,0.958055,0,0.399225,0.958055,1.35728
103,1,Mogbazar,Mohakhali,32.1119,32.4998,32.4998,32.899,0.387904,0,0.399225,0.387904,0.787129
104,1,Mogbazar,Mohakhali,32.1711,32.4998,32.4998,32.899,0.328704,0,0.399225,0.328704,0.727928
47,3,Mohakhali,Mogbazar,18.3377,18.3377,30.8217,33.6526,0,12.4841,2.83087,12.4841,15.315
62,3,Mohakhali,Mogbazar,23.5889,23.5889,30.8217,33.6526,0,7.23286,2.83087,7.23286,10.0637
92,3,Mohakhali,Mogbazar,30.8217,30.8217,30.8217,33.6526,0,0,2.83087,0,2.83087
105,3,Mogbazar,Mohakhali,32.5678,33.6526,34.101,34.7151,1.0848,0.448376,0.614112,1.53318,2.14729
106,3,Mogbazar,Mohakhali,33.3141,33.6526,34.101,34.7151,0.338566,0.448376,0.614112,0.786942,1.40105
109,3,Mogbazar,Mohakhali,34.101,34.101,34.101,34.7151,0,0,0.614112,0,0.614112
107,1,Mohakhali,Mogbazar,33.6728,33.6728,33.6728,36.0486,0,0,2.37577,0,2.37577
111,1,Mogbazar,Mohakhali,34.4399,36.0486,36.0486,36.1387,1.60867,0,0.0900899,1.60867,1.69876
112,1,Mogbazar,Mohakhali,34.7041,36.0486,36.0486,36.1387,1.34452,0,0.0900899,1.34452,1.43461
114,1,Mogbazar,Mohakhali,35.4164,36.0486,36.0486,36.1387,0.6322,0,0.0900899,0.6322,0.72229
78,2,Mohakhali,Mogbazar,27.3821,27.3821,37.8971,38.1691,0,10.515,0.272068,10.515,10.7871
121,2,Mohakhali,Mogbazar,37.8971,37.8971,37.8971,38.1691,0,0,0.272068,0,0.272068
117,2,Mogbazar,Mohakhali,36.3059,38.1691,38.1691,39.0344,1.8632,0,0.865233,1.8632,2.72843
118,2,Mogbazar,Mohakhali,36.8862,38.1691,38.1691,39.0344,1.28292,0,0.865233,1.28292,2.14816
119,2,Mogbazar,Mohakhali,36.9443,38.1691,38.1691,39.0344,1.22482,0,0.865233,1.22482,2.09005
120,2,Mogbazar,Mohakhali,37.7958,38.1691,38.1691,39.0344,0.373369,0,0.865233,0.373369,1.2386
153,1,Mohakhali,Mogbazar,44.7632,44.7632,44.7632,45.9572,0,0,1.19405,0,1.19405
124,1,Mogbazar,Mohakhali,38.7011,45.9572,45.9572,46.652,7.25611,0,0.694748,7.25611,7.95086
125,1,Mogbazar,Mohakhali,38.7377,45.9572,45.9572,46.652,7.21949,0,0.694748,7.21949,7.91424
126,1,Mogbazar,Mohakhali,38.799,45.9572,45.9572,46.652,7.15825,0,0.694748,7.15825,7.85299
127,1,Mogbazar,Mohakhali,39.1398,45.9572,45.9572,46.652,6.81745,0,0.694748,6.81745,7.5122
128,1,Mogbazar,Mohakhali,39.2827,45.9572,45.9572,46.652,6.67457,0,0.694748,6.67457,7.36932
129,1,Mogbazar,Mohakhali,39.4089,45.9572,45.9572,46.652,6.54833,0,0.694748,6.54833,7.24307
132,1,Mogbazar,Mohakhali,39.7899,45.9572,45.9572,46.652,6.16738,0,0.694748,6.16738,6.86213
133,1,Mogbazar,Mohakhali,40.5782,45.9572,45.9572,46.652,5.37904,0,0.694748,5.37904,6.07378
135,1,Mogbazar,Mohakhali,41.0572,45.9572,45.9572,46.652,4.89999,0,0.694748,4.89999,5.59474
136,1,Mogbazar,Mohakhali,41.166,45.9572,45.9572,46.652,4.79119,0,0.694748,4.79119,5.48594
137,1,Mogbazar,Mohakhali,41.2961,45.9572,45.9572,46.652,4.66116,0,0.694748,4.66116,5.35591
140,1,Mogbazar,Mohakhali,42.1998,45.9572,45.9572,46.652,3.75739,0,0.694748,3.75739,4.45214
144,1,Mogbazar,Mohakhali,43.1183,45.9572,45.9572,46.652,2.8389,0,0.694748,2.8389,3.53365
145,1,Mogbazar,Mohakhali,43.1714,45.9572,45.9572,46.652,2.78583,0,0.694748,2.78583,3.48058
146,1,Mogbazar,Mohakhali,43.545,45.9572,45.9572,46.652,2.41221,0,0.694748,2.41221,3.10696
148,1,Mogbazar,Mohakhali,43.833,45.9572,45.9572,46.652,2.12425,0,0.694748,2.12425,2.81899
149,1,Mogbazar,Mohakhali,43.9386,45.9572,45.9572,46.652,2.01868,0,0.694748,2.01868,2.71343
150,1,Mogbazar,Mohakhali,44.0796,45.9572,45.9572,46.652,1.87764,0,0.694748,1.87764,2.57239
151,1,Mogbazar,Mohakhali,44.4465,45.9572,45.9572,46.652,1.51072,0,0.694748,1.51072,2.20547
154,1,Mogbazar,Mohakhali,45.1307,45.9572,45.9572,46.652,0.826509,0,0.694748,0.826509,1.52126
162,1,Mohakhali,Mogbazar,46.7249,46.7249,46.7249,48.104,0,0,1.37906,0,1.37906
156,1,Mogbazar,Mohakhali,45.7559,48.104,48.104,48.304,2.34812,0,0.19997,2.34812,2.54809
157,1,Mogbazar,Mohakhali,46.2228,48.104,48.104,48.304,1.88122,0,0.19997,1.88122,2.08119
158,1,Mogbazar,Mohakhali,46.3514,48.104,48.104,48.304,1.75257,0,0.19997,1.75257,1.95254
163,1,Mogbazar,Mohakhali,47.2893,48.104,48.104,48.304,0.814644,0,0.19997,0.814644,1.01461
164,1,Mogbazar,Mohakhali,47.9989,48.104,48.104,48.304,0.105103,0,0.19997,0.105103,0.305073
98,4,Mohakhali,Mogbazar,31.4614,31.4614,48.1787,51.6165,0,16.7172,3.43783,16.7172,20.1551
110,4,Mohakhali,Mogbazar,34.163,34.163,48.1787,51.6165,0,14.0156,3.43783,14.0156,17.4535
161,4,Mohakhali,Mogbazar,46.6653,46.6653,48.1787,51.6165,0,1.51341,3.43783,1.51341,4.95123
166,4,Mohakhali,Mogbazar,48.1787,48.1787,48.1787,51.6165,0,0,3.43783,0,3.43783
169,4,Mogbazar,Mohakhali,48.2697,51.6165,51.6165,51.6417,3.34677,0,0.0252075,3.34677,3.37198
171,4,Mogbazar,Mohakhali,48.5715,51.6165,51.6165,51.6417,3.04501,0,0.0252075,3.04501,3.07022
172,4,Mogbazar,Mohakhali,48.6412,51.6165,51.6165,51.6417,2.97533,0,0.0252075,2.97533,3.00054
173,4,Mogbazar,Mohakhali,49.1014,51.6165,51.6165,51.6417,2.51514,0,0.0252075,2.51514,2.54034
174,4,Mogbazar,Mohakhali,49.3597,51.6165,51.6165,51.6417,2.25683,0,0.0252075,2.25683,2.28204
177,4,Mogbazar,Mohakhali,50.195,51.6165,51.6165,51.6417,1.42153,0,0.0252075,1.42153,1.44674
181,4,Mogbazar,Mohakhali,50.646,51.6165,51.6165,51.6417,0.970487,0,0.0252075,0.970487,0.995694
182,4,Mogbazar,Mohakhali,50.9302,51.6165,51.6165,51.6417,0.686304,0,0.0252075,0.686304,0.711511
185,4,Mogbazar,Mohakhali,51.4421,51.6165,51.6165,51.6417,0.174382,0,0.0252075,0.174382,0.199589
218,1,Mohakhali,Mogbazar,59.1004,59.1004,59.1004,59.1757,0,0,0.075323,0,0.075323
187,1,Mogbazar,Mohakhali,51.9887,59.1757,59.1757,59.939,7.18699,0,0.763272,7.18699,7.95027
189,1,Mogbazar,Mohakhali,52.0718,59.1757,59.1757,59.939,7.10394,0,0.763272,7.10394,7.86722
191,1,Mogbazar,Mohakhali,52.7644,59.1757,59.1757,59.939,6.41127,0,0.763272,6.41127,7.17454
192,1,Mogbazar,Mohakhali,52.8788,59.1757,59.1757,59.939,6.29696,0,0.763272,6.29696,7.06023
195,1,Mogbazar,Mohakhali,53.4367,59.1757,59.1757,59.939,5.73906,0,0.763272,5.73906,6.50234
199,1,Mogbazar,Mohakhali,54.3231,59.1757,59.1757,59.939,4.85257,0,0.763272,4.85257,5.61584
201,1,Mogbazar,Mohakhali,55.0936,59.1757,59.1757,59.939,4.08207,0,0.763272,4.08207,4.84534
202,1,Mogbazar,Mohakhali,55.181,59.1757,59.1757,59.939,3.99468,0,0.763272,3.99468,4.75795
205,1,Mogbazar,Mohakhali,55.843,59.1757,59.1757,59.939,3.33274,0,0.763272,3.33274,4.09602
206,1,Mogbazar,Mohakhali,56.0127,59.1757,59.1757,59.939,3.16304,0,0.763272,3.16304,3.92632
209,1,Mogbazar,Mohakhali,56.7938,59.1757,59.1757,59.939,2.38188,0,0.763272,2.38188,3.14516
210,1,Mogbazar,Mohakhali,57.2702,59.1757,59.1757,59.939,1.9055,0,0.763272,1.9055,2.66877
211,1,Mogbazar,Mohakhali,57.4178,59.1757,59.1757,59.939,1.75792,0,0.763272,1.75792,2.5212
213,1,Mogbazar,Mohakhali,57.7197,59.1757,59.1757,59.939,1.45606,0,0.763272,1.45606,2.21933
214,1,Mogbazar,Mohakhali,57.7763,59.1757,59.1757,59.939,1.39939,0,0.763272,1.39939,2.16266
215,1,Mogbazar,Mohakhali,58.0133,59.1757,59.1757,59.939,1.16247,0,0.763272,1.16247,1.92574
216,1,Mogbazar,Mohakhali,58.0985,59.1757,59.1757,59.939,1.07721,0,0.763272,1.07721,1.84049
217,1,Mogbazar,Mohakhali,58.7123,59.1757,59.1757,59.939,0.463405,0,0.763272,0.463405,1.22668
152,3,Mohakhali,Mogbazar,44.5943,44.5943,67.8482,70.1616,0,23.2539,2.31342,23.2539,25.5673
207,3,Mohakhali,Mogbazar,56.0779,56.0779,67.8482,70.1616,0,11.7703,2.31342,11.7703,14.0837
251,3,Mohakhali,Mogbazar,67.8482,67.8482,67.8482,70.1616,0,0,2.31342,0,2.31342
220,3,Mogbazar,Mohakhali,59.9455,70.1616,70.1616,70.1897,10.2161,0,0.028057,10.2161,10.2442
221,3,Mogbazar,Mohakhali,60.005,70.1616,70.1616,70.1897,10.1565,0,0.028057,10.1565,10.1846
224,3,Mogbazar,Mohakhali,60.3225,70.1616,70.1616,70.1897,9.83909,0,0.028057,9.83909,9.86715
225,3,Mogbazar,Mohakhali,60.4639,70.1616,70.1616,70.1897,9.69769,0,0.028057,9.69769,9.72575
226,3,Mogbazar,Mohakhali,60.6897,70.1616,70.1616,70.1897,9.47189,0,0.028057,9.47189,9.49995
227,3,Mogbazar,Mohakhali,60.9812,70.1616,70.1616,70.1897,9.18044,0,0.028057,9.18044,9.20849
228,3,Mogbazar,Mohakhali,61.1333,70.1616,70.1616,70.1897,9.02831,0,0.028057,9.02831,9.05637
229,3,Mogbazar,Mohakhali,61.1866,70.1616,70.1616,70.1897,8.97499,0,0.028057,8.97499,9.00304
230,3,Mogbazar,Mohakhali,61.9459,70.1616,70.1616,70.1897,8.21569,0,0.028057,8.21569,8.24374
231,3,Mogbazar,Mohakhali,62.1675,70.1616,70.1616,70.1897,7.99413,0,0.028057,7.99413,8.02219
232,3,Mogbazar,Mohakhali,62.7082,70.1616,70.1616,70.1897,7.4534,0,0.028057,7.4534,7.48146
234,3,Mogbazar,Mohakhali,63.0554,70.1616,70.1616,70.1897,7.1062,0,0.028057,7.1062,7.13426
235,3,Mogbazar,Mohakhali,63.5761,70.1616,70.1616,70.1897,6.58554,0,0.028057,6.58554,6.6136
237,3,Mogbazar,Mohakhali,64.337,70.1616,70.1616,70.1897,5.82464,0,0.028057,5.82464,5.85269
239,3,Mogbazar,Mohakhali,64.9709,70.1616,70.1616,70.1897,5.19069,0,0.028057,5.19069,5.21875
240,3,Mogbazar,Mohakhali,65.1937,70.1616,70.1616,70.1897,4.9679,0,0.028057,4.9679,4.99596
243,3,Mogbazar,Mohakhali,65.4374,70.1616,70.1616,70.1897,4.72417,0,0.028057,4.72417,4.75222
245,3,Mogbazar,Mohakhali,65.7125,70.1616,70.1616,70.1897,4.44911,0,0.028057,4.44911,4.47717
246,3,Mogbazar,Mohakhali,66.0433,70.1616,70.1616,70.1897,4.11829,0,0.028057,4.11829,4.14635
250,3,Mogbazar,Mohakhali,67.531,70.1616,70.1616,70.1897,2.63056,0,0.028057,2.63056,2.65862
260,1,Mohakhali,Mogbazar,70.0194,70.0194,70.0194,71.5528,0,0,1.53341,0,1.53341
253,1,Mogbazar,Mohakhali,68.2218,71.5528,71.5528,72.274,3.331,0,0.721278,3.331,4.05228
255,1,Mogbazar,Mohakhali,68.5208,71.5528,71.5528,72.274,3.03194,0,0.721278,3.03194,3.75322
256,1,Mogbazar,Mohakhali,69.0385,71.5528,71.5528,72.274,2.51425,0,0.721278,2.51425,3.23553
257,1,Mogbazar,Mohakhali,69.3601,71.5528,71.5528,72.274,2.19269,0,0.721278,2.19269,2.91397
261,1,Mogbazar,Mohakhali,71.5421,71.5528,71.5528,72.274,0.0106159,0,0.721278,0.0106159,0.731894
178,2,Mohakhali,Mogbazar,50.3043,50.3043,80.4415,80.9991,0,30.1372,0.557563,30.1372,30.6947
290,2,Mohakhali,Mogbazar,80.4415,80.4415,80.4415,80.9991,0,0,0.557563,0,0.557563
91,6,Mohakhali,Mogbazar,30.7666,30.7666,80.5073,81.9432,0,49.7408,1.43588,49.7408,51.1766
159,6,Mohakhali,Mogbazar,46.4708,46.4708,80.5073,81.9432,0,34.0365,1.43588,34.0365,35.4724
168,6,Mohakhali,Mogbazar,48.197,48.197,80.5073,81.9432,0,32.3104,1.43588,32.3104,33.7462
180,6,Mohakhali,Mogbazar,50.4476,50.4476,80.5073,81.9432,0,30.0597,1.43588,30.0597,31.4956
258,6,Mohakhali,Mogbazar,69.4113,69.4113,80.5073,81.9432,0,11.096,1.43588,11.096,12.5319
293,6,Mohakhali,Mogbazar,80.5073,80.5073,80.5073,81.9432,0,0,1.43588,0,1.43588
286,6,Mogbazar,Mohakhali,78.2817,81.9432,81.9432,83.1816,3.66151,0,1.23837,3.66151,4.89989
287,6,Mogbazar,Mohakhali,79.5247,81.9432,81.9432,83.1816,2.41856,0,1.23837,2.41856,3.65693
288,6,Mogbazar,Mohakhali,80.054,81.9432,81.9432,83.1816,1.88926,0,1.23837,1.88926,3.12764
289,6,Mogbazar,Mohakhali,80.4331,81.9432,81.9432,83.1816,1.51014,0,1.23837,1.51014,2.74852
291,6,Mogbazar,Mohakhali,80.4488,81.9432,81.9432,83.1816,1.49438,0,1.23837,1.49438,2.73275
292,6,Mogbazar,Mohakhali,80.4867,81.9432,81.9432,83.1816,1.45648,0,1.23837,1.45648,2.69485
295,6,Mogbazar,Mohakhali,80.6765,81.9432,81.9432,83.1816,1.26671,0,1.23837,1.26671,2.50509
297,6,Mogbazar,Mohakhali,80.9447,81.9432,81.9432,83.1816,0.99849,0,1.23837,0.99849,2.23686
298,6,Mogbazar,Mohakhali,81.3437,81.9432,81.9432,83.1816,0.599506,0,1.23837,0.599506,1.83788
130,5,Mohakhali,Mogbazar,39.4289,39.4289,80.5609,83.9342,0,41.1319,3.3733,41.1319,44.5052
175,5,Mohakhali,Mogbazar,50.0692,50.0692,80.5609,83.9342,0,30.4916,3.3733,30.4916,33.8649
197,5,Mohakhali,Mogbazar,54.1146,54.1146,80.5609,83.9342,0,26.4462,3.3733,26.4462,29.8195
249,5,Mohakhali,Mogbazar,67.1685,67.1685,80.5609,83.9342,0,13.3923,3.3733,13.3923,16.7656
294,5,Mohakhali,Mogbazar,80.5609,80.5609,80.5609,83.9342,0,0,3.3733,0,3.3733
262,2,Mogbazar,Mohakhali,72.5981,80.9991,80.9991,84.134,8.40094,0,3.13496,8.40094,11.5359
263,2,Mogbazar,Mohakhali,72.6535,80.9991,80.9991,84.134,8.34555,0,3.13496,8.34555,11.4805
264,2,Mogbazar,Mohakhali,72.7953,80.9991,80.9991,84.134,8.20381,0,3.13496,8.20381,11.3388
265,2,Mogbazar,Mohakhali,73.1195,80.9991,80.9991,84.134,7.87957,0,3.13496,7.87957,11.0145
266,2,Mogbazar,Mohakhali,73.383,80.9991,80.9991,84.134,7.61604,0,3.13496,7.61604,10.751
267,2,Mogbazar,Mohakhali,73.6957,80.9991,80.9991,84.134,7.3034,0,3.13496,7.3034,10.4384
268,2,Mogbazar,Mohakhali,73.7328,80.9991,80.9991,84.134,7.26624,0,3.13496,7.26624,10.4012
271,2,Mogbazar,Mohakhali,74.0251,80.9991,80.9991,84.134,6.97397,0,3.13496,6.97397,10.1089
273,2,Mogbazar,Mohakhali,74.2736,80.9991,80.9991,84.134,6.72546,0,3.13496,6.72546,9.86042
274,2,Mogbazar,Mohakhali,74.4717,80.9991,80.9991,84.134,6.52733,0,3.13496,6.52733,9.66229
275,2,Mogbazar,Mohakhali,74.983,80.9991,80.9991,84.134,6.01605,0,3.13496,6.01605,9.15101
276,2,Mogbazar,Mohakhali,75.2205,80.9991,80.9991,84.134,5.77853,0,3.13496,5.77853,8.91349
277,2,Mogbazar,Mohakhali,75.7816,80.9991,80.9991,84.134,5.21746,0,3.13496,5.21746,8.35242
278,2,Mogbazar,Mohakhali,75.8524,80.9991,80.9991,84.134,5.14666,0,3.13496,5.14666,8.28162
279,2,Mogbazar,Mohakhali,76.3022,80.9991,80.9991,84.134,4.69689,0,3.13496,4.69689,7.83185
280,2,Mogbazar,Mohakhali,76.7441,80.9991,80.9991,84.134,4.25497,0,3.13496,4.25497,7.38993
281,2,Mogbazar,Mohakhali,76.9491,80.9991,80.9991,84.134,4.04994,0,3.13496,4.04994,7.1849
283,2,Mogbazar,Mohakhali,77.7831,80.9991,80.9991,84.134,3.21594,0,3.13496,3.21594,6.3509
284,2,Mogbazar,Mohakhali,78.0099,80.9991,80.9991,84.134,2.98913,0,3.13496,2.98913,6.12409
285,2,Mogbazar,Mohakhali,78.0638,80.9991,80.9991,84.134,2.93526,0,3.13496,2.93526,6.07022
300,5,Mogbazar,Mohakhali,82.3906,83.9342,84.8528,87.0905,1.54356,0.918683,2.23762,2.46225,4.69987
301,5,Mogbazar,Mohakhali,82.9792,83.9342,84.8528,87.0905,0.954942,0.918683,2.23762,1.87362,4.11125
302,5,Mogbazar,Mohakhali,83.5736,83.9342,84.8528,87.0905,0.360593,0.918683,2.23762,1.27928,3.5169
305,5,Mogbazar,Mohakhali,83.6931,83.9342,84.8528,87.0905,0.241058,0.918683,2.23762,1.15974,3.39736
307,5,Mogbazar,Mohakhali,84.8528,84.8528,84.8528,87.0905,0,0,2.23762,0,2.23762
3,11,Mohakhali,Mogbazar,0.128255,0.128255,91.2292,91.569,0,91.1009,0.339816,91.1009,91.4407
28,11,Mohakhali,Mogbazar,10.0477,10.0477,91.2292,91.569,0,81.1815,0.339816,81.1815,81.5213
34,11,Mohakhali,Mogbazar,12.6493,12.6493,91.2292,91.569,0,78.5798,0.339816,78.5798,78.9197
113,11,Mohakhali,Mogbazar,35.1578,35.1578,91.2292,91.569,0,56.0714,0.339816,56.0714,56.4112
134,11,Mohakhali,Mogbazar,40.9685,40.9685,91.2292,91.569,0,50.2607,0.339816,50.2607,50.6005
155,11,Mohakhali,Mogbazar,45.4168,45.4168,91.2292,91.569,0,45.8124,0.339816,45.8124,46.1522
170,11,Mohakhali,Mogbazar,48.4642,48.4642,91.2292,91.569,0,42.765,0.339816,42.765,43.1048
200,11,Mohakhali,Mogbazar,54.3588,54.3588,91.2292,91.569,0,36.8703,0.339816,36.8703,37.2101
222,11,Mohakhali,Mogbazar,60.217,60.217,91.2292,91.569,0,31.0122,0.339816,31.0122,31.352
306,11,Mohakhali,Mogbazar,84.248,84.248,91.2292,91.569,0,6.98111,0.339816,6.98111,7.32093
328,11,Mohakhali,Mogbazar,91.2292,91.2292,91.2292,91.569,0,0,0.339816,0,0.339816
308,11,Mogbazar,Mohakhali,84.891,91.569,91.569,93.1435,6.67795,0,1.57451,6.67795,8.25246
309,11,Mogbazar,Mohakhali,85.4038,91.569,91.569,93.1435,6.16513,0,1.57451,6.16513,7.73964
310,11,Mogbazar,Mohakhali,85.4442,91.569,91.569,93.1435,6.12474,0,1.57451,6.12474,7.69925
312,11,Mogbazar,Mohakhali,85.636,91.569,91.569,93.1435,5.93297,0,1.57451,5.93297,7.50748
313,11,Mogbazar,Mohakhali,85.7308,91.569,91.569,93.1435,5.83821,0,1.57451,5.83821,7.41272
314,11,Mogbazar,Mohakhali,86.0531,91.569,91.569,93.1435,5.51587,0,1.57451,5.51587,7.09038
